Index,Name,Emergency,2p0E34+ZeroBias+HLTPhysics,2p0E34+ZeroBias,2p0E34+HLTPhysics,2p0E34,2p0E34_NoAXO,1p8E34,1p8E34+ZeroBias,1p8E34+ZeroBias+HLTPhysics,1p8E34+HLTPhysics,1p8E34_NoAXO,1p6E34,1p4E34,2p0E34_OnlyMuons,2p0E34_NoMuShower
121,L1_TwoMuShower_Loose,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
122,L1_Mu5_EG23er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,L1_Mu7_EG20er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
124,L1_Mu7_EG23er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
125,L1_Mu20_EG10er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
126,L1_Mu5_LooseIsoEG20er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,L1_Mu7_LooseIsoEG20er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
128,L1_Mu7_LooseIsoEG23er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
129,L1_Mu6_DoubleEG10er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,L1_Mu6_DoubleEG12er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
131,L1_Mu6_DoubleEG15er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
132,L1_Mu6_DoubleEG17er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
133,L1_DoubleMu4_SQ_EG9er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,L1_DoubleMu5_SQ_EG9er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
135,L1_DoubleMu3_OS_er2p3_Mass_Max14_DoubleEG7p5_er2p1_Mass_Max20,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
136,L1_DoubleMu5_OS_er2p3_Mass_8to14_DoubleEG3er2p1_Mass_Max20,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
137,L1_Mu3_Jet30er2p5,0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,0,22000
138,L1_Mu3_Jet16er2p5_dR_Max0p4,0,400,400,400,400,400,400,400,400,400,400,400,400,0,400
139,L1_DoubleJet16er2p5_Mu3_dR_Max0p4,0,800,800,800,800,800,800,800,800,800,800,800,800,0,800
140,L1_DoubleJet35er2p5_Mu3_dR_Max0p4,0,512,512,512,512,512,512,512,512,512,512,512,512,0,512
141,L1_Mu3_Jet60er2p5_dR_Max0p4,0,52,52,52,52,52,52,52,52,52,52,52,52,0,52
142,L1_DoubleJet60er2p5_Mu3_dR_Max0p4,0,104,104,104,104,104,104,104,104,104,104,104,104,0,104
143,L1_DoubleJet80er2p5_Mu3_dR_Max0p4,0,26,26,26,26,26,26,26,26,26,26,26,26,0,26
144,L1_DoubleJet120er2p5_Mu3_dR_Max0p8,0,6,6,6,6,6,6,6,6,6,6,6,6,0,6
145,L1_Mu3_Jet120er2p5_dR_Max0p4,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
146,L1_Mu3er1p5_Jet100er2p5_ETMHF30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,L1_Mu3er1p5_Jet100er2p5_ETMHF40,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
148,L1_Mu3er1p5_Jet100er2p5_ETMHF50,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
149,L1_Mu6_HTT240er,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
150,L1_Mu6_HTT250er,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
151,L1_Mu12_HTT150er,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
152,L1_Mu14_HTT150er,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
153,L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
155,L1_DoubleMu0_dR_Max1p6_Jet90er2p5_dR_Max0p8,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
156,L1_DoubleMu3_SQ_ETMHF30_HTT60er,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,L1_DoubleMu3_SQ_ETMHF40_HTT60er,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
158,L1_DoubleMu3_SQ_ETMHF50_HTT60er,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
159,L1_DoubleMu3_SQ_ETMHF30_Jet60er2p5_OR_DoubleJet40er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,L1_DoubleMu3_SQ_ETMHF40_Jet60er2p5_OR_DoubleJet40er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
161,L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
162,L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
163,L1_DoubleMu3_SQ_ETMHF60_Jet60er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
164,L1_DoubleMu3_SQ_HTT220er,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
173,L1_SingleEG8er2p5,0,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,0,44000
174,L1_SingleEG10er2p5,0,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,0,9000
175,L1_SingleEG15er2p5,0,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,0,1550
176,L1_SingleEG26er2p5,0,780,780,780,780,780,780,780,780,780,780,780,780,0,780
177,L1_SingleEG28er1p3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,L1_SingleEG28er1p3to2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,L1_SingleEG28er2p5to3p0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,L1_SingleEG28_FWD2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,L1_SingleEG28er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,L1_SingleEG28er2p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
