Index,Name,Emergency,FullZB,MB_UPC_33kHzZB,MB_UPC_22kHzZB,MB_UPC_11kHzZB,MB_UPC_1kHzZB,MB_33kHzZB,MB_22kHzZB,MB_11kHzZB,MB_1kHzZB,Random_10kHzZB,MB_UPC
303,L1_SingleJet48_Centrality_50_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
304,L1_SingleJet56_Centrality_50_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
305,L1_SingleJet60_Centrality_50_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
306,L1_SingleJet64_Centrality_50_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
319,L1_Centrality_0_0p5_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
320,L1_Centrality_0_1_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
321,L1_Centrality_30_100_MinimumBiasHF1_AND_BptxAND,0,2,2,2,2,2,2,2,2,2,0,2
322,L1_FirstCollisionInOrbit_Centrality30_100_BptxAND,0,1123,1123,1123,1123,1123,1123,1123,1123,1123,0,1123
344,L1_SingleEG3_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
345,L1_SingleEG5_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
346,L1_SingleEG7_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
347,L1_SingleEG12_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
348,L1_SingleEG15_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
349,L1_SingleEG21_BptxAND,0,1,1,1,1,1,1,1,1,1,0,1
350,L1_SingleEG30_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
354,L1_SingleIsoEG12_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
355,L1_SingleIsoEG15_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
356,L1_SingleIsoEG21_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
359,L1_SingleEG2_NotMinimumBiasHF2_AND_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
360,L1_SingleEG3_NotMinimumBiasHF2_AND_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
361,L1_SingleEG5_NotMinimumBiasHF2_AND_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
362,L1_SingleEG2_NotMinimumBiasHF2_AND_ZDC1nOR_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
363,L1_SingleEG3_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
364,L1_SingleEG7_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
365,L1_SingleEG15_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
366,L1_SingleEG21_Centrality_30_100_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
396,L1_DoubleEG2_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
397,L1_DoubleEG5_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
398,L1_DoubleEG8_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
399,L1_DoubleEG10_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0
401,L1_DoubleEG1_NotMinimumBiasHF2_AND_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
402,L1_DoubleEG2_NotMinimumBiasHF2_AND_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
403,L1_DoubleEG3_NotMinimumBiasHF2_AND_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
404,L1_DoubleEG5_NotMinimumBiasHF2_AND_BptxAND,0,0,1,1,1,1,0,0,0,0,0,1
