Index,Name,Emergency,2.2E+34,2E+34,1.7E+34,1.5E+34,1.3E+34,1.1E+34,9E+33,6E+33
287,L1_SingleJet36_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
288,L1_SingleJet40_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
289,L1_SingleJet44_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
290,L1_SingleJet48_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
291,L1_SingleJet56_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
292,L1_SingleJet60_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
293,L1_SingleJet64_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
295,L1_SingleJet8_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
296,L1_SingleJet16_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
297,L1_SingleJet24_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
298,L1_SingleJet28_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
299,L1_SingleJet32_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
300,L1_SingleJet36_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
301,L1_SingleJet40_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
302,L1_SingleJet44_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
303,L1_SingleJet48_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
304,L1_SingleJet56_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
305,L1_SingleJet60_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
306,L1_SingleJet64_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
308,L1_SingleJet8_FWD_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
309,L1_SingleJet16_FWD_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
310,L1_SingleJet28_FWD_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
311,L1_SingleJet36_FWD_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
312,L1_SingleJet44_FWD_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
313,L1_SingleJet56_FWD_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
314,L1_SingleJet64_FWD_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
316,L1_SingleJet8_FWD_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
317,L1_SingleJet16_FWD_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
318,L1_SingleJet28_FWD_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
319,L1_SingleJet36_FWD_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
320,L1_SingleJet44_FWD_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
321,L1_SingleJet56_FWD_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
322,L1_SingleJet64_FWD_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
324,L1_DoubleJet16And8_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
325,L1_DoubleJet16And12_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
326,L1_DoubleJet20And8_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
327,L1_DoubleJet20And12_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
328,L1_DoubleJet28And16_MidEta2p7_BptxAND,0,1,1,1,1,1,1,1,1
330,L1_DoubleJet16And8_MidEta2p7_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
331,L1_DoubleJet16And12_MidEta2p7_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
332,L1_DoubleJet20And8_MidEta2p7_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
333,L1_DoubleJet20And12_MidEta2p7_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
334,L1_DoubleJet28And16_MidEta2p7_Centrality_30_100_BptxAND,0,1,1,1,1,1,1,1,1
336,L1_DoubleJet16And8_MidEta2p7_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
337,L1_DoubleJet16And12_MidEta2p7_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
338,L1_DoubleJet20And8_MidEta2p7_Centrality_50_100_BptxAND,0,1,1,1,1,1,1,1,1
